,9V,6V,3Y,6T,4D,4A,5Y,5F
125,89.2,87.5,84.6,68,25.46,25.46,22.41,38.1
25,89.1,86.5,83.6,72.1,21.94,21.94,20.82,20.81
5,88.6,88.9,82,68.8,17.89,17.89,17.27,11.25
1,87.7,82.8,74.7,65,11.97,11.97,11.19,6.56
0.2,85,75.1,67.2,55.3,6.28,6.28,7.7,6.14
0.04,70.6,72.4,40.5,27.94,4.26,4.26,5.67,6.19
0.008,61.8,49.3,19.18,11.05,3.49,3.49,5.08,4.17
0.0016,24.86,16.14,5.77,5.46,3.48,3.48,4.6,5.26
0.00032,9.13,5.7,3.86,4.8,3.31,3.31,4.33,3.95
0.000064,3.93,3.85,2.69,3.41,2.84,2.84,4.26,5.85
0.0000128,2.3,2.58,3.32,3.07,3.17,3.17,3.48,4.35
