threshold,experiments_fit,total_valid_values,pct_experiments
5,5,40,41.66666666666667
10,5,41,41.66666666666667
15,8,61,66.66666666666666
20,10,74,83.33333333333334
25,10,74,83.33333333333334
30,11,76,91.66666666666666
