peptide,kd,memory_n,naive_n,memory_mean,memory_std,naive_mean,naive_std,fold_change,t_pval,u_pval,cohens_d
9V,4.93,6,6,-503.6830273995676,33.66081024064285,-423.8315291542137,79.87579131851706,1.188403865103437,0.06639320244002515,0.06493506493506493,-1.3028242028883488
6V,22.8,6,6,-458.99671007235867,29.202257807669632,-400.1783842074827,80.16218382127495,1.1469802672659604,0.15419919322388956,0.06493506493506493,-0.9749881283869424
3Y,47.3,6,6,-364.565280011559,37.32408049489705,-341.8953528709274,92.06479882428684,1.0663066255515616,0.6209370074319307,0.17965367965367965,-0.32272175005193615
4D,140.0,6,6,-270.5794433285235,52.820657776410414,-237.01781609532588,127.95951633630192,1.141599596967426,0.599612604930994,0.30952380952380953,-0.34286154831092686
6T,162.0,6,6,-301.9043665478457,32.57554696641903,-304.1026272114825,110.98956403643805,0.9927713197225749,0.9669405667018567,0.30952380952380953,0.026876243726370996
4A,299.0,6,6,-144.92094584900846,38.09967420671423,-102.96585381374253,86.06755039602764,1.4074660723074228,0.3424077953187292,0.09307359307359307,-0.6303796965661871
5Y,433.0,6,6,-198.23022312970934,31.56237415182883,-135.91005754310993,121.47798361321564,1.4585397630843604,0.2928638906518146,0.06493506493506493,-0.7021999634407307
5F,1309.0,6,6,-187.76955453981728,38.4366826911,-113.4271048786383,121.17607953579578,1.655420498836869,0.22025935926736817,0.06493506493506493,-0.8270227764136959
