threshold,n_memory,n_naive,n_total,memory_alpha,naive_alpha,delta_alpha,t_pval,cohens_d
15,3,5,8,1.4827271657307604,2.003084941441772,-0.5203577757110116,0.13609686373069607,-1.3475134908524151
20,5,5,10,1.351576122860277,1.8098943438046735,-0.45831822094439656,0.15648370760535804,-1.105802582801282
25,5,5,10,1.638608016092597,1.8828145334275939,-0.24420651733499676,0.3449923004672086,-0.7095983982266566
30,6,5,11,1.574979537676047,1.8025285473256853,-0.22754900964963842,0.4301991353577378,-0.5569167658587804
40,6,6,12,1.8992416179104363,1.37829315391248,0.5209484639979562,0.061572205502647595,1.3312298599753878
50,6,6,12,1.90718409855791,1.420213819856235,0.486970278701675,0.009614423445492957,2.019069556346656
