condition,n_points,C,log_C,alpha,alpha_se,r_squared
memory,22,6.574039392765935e-07,-6.182167697879947,1.4561958940780946,0.31203255030222515,0.5212916782044147
naive,39,2.492621380040743e-06,-5.603343684210531,1.9893681789036815,0.23129200585912219,0.6666039159705539
