peptide,kd,memory_n,naive_n,memory_mean,memory_std,naive_mean,naive_std,fold_change,t_pval,cohens_d
9V,4.93,6,6,-363.63273753077397,40.725278335716354,-361.29701276628447,23.02511065027877,1.0064648327607415,0.9133192440919221,-0.07060624995154165
6V,22.8,6,6,-336.0129378094362,37.68953636324479,-341.33675934246224,18.486464196217252,0.9844030231514425,0.7825170774143706,0.17935135572548083
3Y,47.3,6,6,-268.2938114143447,22.89947770371207,-284.9991945179756,35.37928530311302,0.9413844550266712,0.3962387057701021,0.5605833401975181
4D,140.0,6,6,-163.67198116532938,33.72534693302011,-187.57733778862485,73.27102730826415,0.8725573307249211,0.5224985703481961,0.4191329246777827
6T,162.0,6,6,-189.21875234880727,17.262500090428084,-250.24698837739228,46.599247515180345,0.7561279900937325,0.02061658632806381,1.7367716693876056
4A,299.0,6,6,-37.5125551827069,9.628236683197954,-61.4586850562553,31.664676537213296,0.6103702861258801,0.13676177497655614,1.0232292514566457
5Y,433.0,6,6,-84.64759742510633,28.5666819367917,-93.69226928121441,68.28009646170433,0.9034640539129137,0.7902224225473744,0.17281753462713761
5F,1309.0,6,6,-71.15805881642477,13.382933526992662,-58.15022703573146,41.63554789775101,1.2236935682589924,0.5210406811873173,-0.42063495860947503
