peptide,kd,ec50_memory,ec50_naive,ec50_fold,ec50_p,ec50_n_mem,ec50_n_naive,sat_memory,sat_naive,sat_fold,sat_p,sat_n_mem,sat_n_naive,p15_memory,p15_naive,p15_fold,p15_p,p15_n_mem,p15_n_naive,p30_memory,p30_naive,p30_fold,p30_p,p30_n_mem,p30_n_naive,p40_memory,p40_naive,p40_fold,p40_p,p40_n_mem,p40_n_naive
9V,4.93,0.0008816943657533273,0.002894436403628971,3.2828115002821185,0.06881331021714307,6,6,0.055820814252797946,0.301519378782106,5.401558232680075,0.46604988154248905,6,6,0.00033174196284439295,0.000452855634362435,1.3650839661030512,0.48516450387261933,6,6,0.0008903965739666621,0.0013049968107883834,1.465635480800092,0.4749990001738891,6.0,6.0,0.0014061120338610905,0.016013016355048842,11.388151135495342,0.12001924488233898,6.0,6.0
6V,22.8,0.0022857958266583223,0.004087678036300925,1.7882953449419985,0.24467630418342276,6,6,0.011432361437673476,0.17365093171905652,15.189419322137445,0.061196004833880144,6,6,0.0008084502022219261,0.0007843022216050998,0.9701305280764869,0.9332447075122923,6,6,0.0019504885050275135,0.0026542594326273744,1.3608177775905086,0.45991359728093517,6.0,6.0,0.0035628350854864186,0.0062829966134111195,1.7634823006558915,0.17946005301870177,6.0,6.0
3Y,47.3,0.022520968356070623,0.023717438023377183,1.0531269192509676,0.9319531233591236,6,6,0.5527685827363301,0.8388921823813361,1.517619142225177,0.7422482057453805,6,6,0.005073271610423405,0.0027372241632319444,0.5395382651321325,0.3950910306834542,6,6,0.056457753525359665,0.012298450510903518,0.2178345708597723,0.24501539421500515,6.0,6.0,0.14014541301511274,0.023623128707137498,0.16856155473736462,0.20123584727973906,6.0,6.0
4D,140.0,0.12761235833811266,0.06413254229165617,0.502557457027282,0.4341800504283744,6,6,3.377126529118223,1.2894654280172984,0.3818232502985256,0.41214838987121427,6,6,0.031309924359945555,0.022537352902152696,0.7198149903863864,0.7820810978010473,6,6,0.29376858173015374,0.036226070550046154,0.12331499283106538,0.11668036319011434,6.0,5.0,0.7582604584868101,0.1593790257286329,0.21019034283640586,0.2167606718350923,5.0,5.0
6T,162.0,0.0689533057968862,0.020213776073833296,0.2931516602463766,0.07491569049894589,6,6,1.6353504909016316,0.20355887322178332,0.12447415667423897,0.07019819712626543,6,6,0.01886477646237515,0.006170977160548052,0.32711636805534144,0.08574871821739961,6,6,0.0868930437951836,0.020911954249583364,0.24066315709776637,0.04336557306222617,6.0,6.0,0.5016295778928224,0.04418191062592936,0.08807676535247931,0.03190982151135677,6.0,6.0
4A,299.0,0.1611076447031485,1.7009854413115517,10.5580678337501,0.20336057402088334,6,6,7.295698258496632,33.30659067713263,4.565236869321383,0.09576807051500638,6,6,44.75891331523829,2.8033194564802395,0.06263153523715782,0.24563776050540267,2,5,,,,,,,,,,,,
5Y,433.0,3.7062760829692714,0.36180046969685326,0.09761832675103846,0.09549364467474566,6,6,17.107781474351768,9.955740523801879,0.5819422313014501,0.25956670216962446,6,6,1.101345767919437,1.2566769417440768,1.1410376090317917,0.9444350185016646,6,6,11.739984970007733,1.2141722030358248,0.10342195549122796,0.3201208785468263,4.0,3.0,4.473811757861969,4.037355560252032,0.90244198432289,0.9657705491119349,2.0,3.0
5F,1309.0,27.457278162034665,32.439780334543116,1.1814638050831194,0.8916515880540219,6,6,42.47820009888547,30.28209479293758,0.7128855441719177,0.7212876404104587,6,6,2.9298648735184676,8.523975556691799,2.9093408483563876,0.26636204095297233,6,6,22.379160014395797,28.2760886696197,1.2635008933056735,0.7904913939295234,6.0,3.0,,,,,,
