analysis,memory_mean,naive_mean,difference,p_value,cohens_d,n_memory,n_naive
Discrimination Power (α),1.965873478789198,1.401537385528812,0.564336093260386,0.0180435246601009,1.7859117607214499,6,6
Affinity-Dependence (β₁),-0.7707844533089102,-28.95201077197729,28.18122631866838,0.3808118075424314,0.5798534583921654,6,6
